STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Andaman and Nicobar Islands,2580,2302,2884,15192,16191,15354,15896,16350,14502,15293,24005,23658,23869,25487,27229,40921,41645,47522,50629,56304,61411,64712,89100,92644,98735,106711,114660,129532,145562,154233,161564,NA,NA,PER CAPITA NSDP
Andhra Pradesh,2060,2134,2039,7416,7711,8071,8514,8191,9144,9445,15427,16574,17213,17340,18819,25959,27179,29797,33217,33733,35677,37708,69000,68865,72254,79174,88609,94115,103177,108853,115344,114324,126587,PER CAPITA NSDP
Arunachal Pradesh,2709,3013,3015,8733,8342,9352,8590,8634,8712,8890,13990,14726,16793,15832,17340,26721,26870,27675,30287,32028,33893,34548,73540,73960,79004,91034,88768,91319,94008,99580,113110,108706,NA,PER CAPITA NSDP
Assam,1544,1575,1557,5715,5737,5760,5793,5796,5664,5785,12282,12447,12529,13072,13675,16782,17050,17579,18089,18922,20406,21146,41142,41609,43002,44809,50642,53575,57835,59943,61519,57227,NA,PER CAPITA NSDP
Bihar,1197,1105,1017,3037,3306,2728,3338,3100,3210,3282,5786,6554,5994,6658,6117,7914,7588,8759,9070,10297,10635,12090,21750,22201,22776,23223,24064,25455,26719,29092,29794,28127,30779,PER CAPITA NSDP
Chandigarh,NA,NA,NA,19761,21021,22524,24855,25470,26718,27494,44502,48292,50476,55991,59406,74173,78167,85372,86923,88298,87751,83319,158967,169336,180615,182867,195205,208231,218201,227231,234350,203180,NA,PER CAPITA NSDP
Chhattisgarh,NA,NA,NA,6539,6445,6474,6654,6810,6873,6692,11629,10808,12202,11716,13661,18559,18530,21580,22929,23926,24189,25991,55177,56777,61409,61122,61433,67139,68374,72537,75278,72236,NA,PER CAPITA NSDP
Delhi,5447,6046,6042,18166,19575,19162,20983,23482,23762,24003,38913,38975,39026,40929,41930,63877,69128,76243,83243,91845,97525,103619,185001,192220,200702,213669,233115,244255,252960,257596.904,260541,243110,263477,PER CAPITA NSDP
Goa,4883,4786,5381,16558,16977,17929,20686,20595,25364,25371,42296,38989,39339,40602,42206,76968,80844,86257,87085,90409,95320,110306,259444,220019,188358,241081,278601,305875,308296,308753,313973,298527,NA,PER CAPITA NSDP
Gujarat,2641,2381,3091,9796,11535,11649,13206,13018,13735,13298,18864,17227,18200,19509,22387,32021,36102,38568,42498,43685,49168,53813,87481,96683,102589,111370,120683,129738,143604,154887,164060,160321,NA,PER CAPITA NSDP
Haryana,3509,3499,3421,11079,11598,11545,12591,12389,12728,13308,23222,24423,25638,26748,28805,37972,40627,44423,47046,49780,55044,57797,106085,111780,119791,125032,137833,150259,156200,166747,177507,165617,179367,PER CAPITA NSDP
Himachal Pradesh,2241,2213,2267,7870,8489,8801,9140,9625,10131,11051,20806,21824,22543,23234,24377,33348,35806,38195,40143,41666,43492,46682,87721,92672,98816,105241,112723,122208,129303,136288,140048,133079,141830,PER CAPITA NSDP
Jammu and Kashmir,1784,1779,1816,6543,6619,6732,6978,7128,7296,7384,13816,13859,13784,14341,14848,21734,22406,23375,24470,25641,26518,27666,51775,52821,54794,51649,61388,62395,65621,69183,68455,65172,72287,PER CAPITA NSDP
Jharkhand,NA,NA,NA,5897,6050,6105,5647,7259,7754,7238,11549,9980,10451,10563,11173,18510,17406,17427,20996,19867,21534,24330,41254,44176,43779,48781,44524,48826,52277,56133,55658,51365,55126,PER CAPITA NSDP
Karnataka,2039,2262,2278,7838,8097,8368,8990,9416,10549,10912,17502,17352,17402,18115,18236,26882,29295,31967,35574,37687,37294,40699,90263,95444,102947,105697,116813,131186,140745,148645,155869,154123,168050,PER CAPITA NSDP
Kerala,1815,1826,1932,7983,8598,8868,9145,9265,9819,10430,19461,19809,20659,21944,23159,32351,35492,38113,41315,43644,47360,50146,97912,103551,107846,112444,120387,129251,137181,147347,149674,134878,143816,PER CAPITA NSDP
Madhya Pradesh,1696,1538,1618,6584,6550,6790,7089,7301,7621,8248,12384,11150,11715,10880,11870,15442,15927,17073,17572,19462,20959,21706,38497,41142,42548,44027,47351,52782,54824,59000,61298,58334,63345,PER CAPITA NSDP
Maharashtra,3483,3399,3837,12183,12158,13221,13464,13925,14199,15257,23011,21892,22258,23447,24859,36077,40671,45582,50138,50183,54246,59587,99597,104008,109597,115058,122889,133686,137808,142063,145165,133356,NA,PER CAPITA NSDP
Manipur,1739,1841,1886,5846,5558,5616,6022,6434,6401,7097,13260,12157,12641,12319,13389,18547,19341,19250,19868,20861,21810,20711,39762,38954,41441,44101,46389,47151,51211,48106,51625,51876,NA,PER CAPITA NSDP
Meghalaya,1733,1764,1617,6893,6940,7535,7602,7881,8507,8996,14355,14910,15518,15882,16658,23079,24278,25471,25633,28223,29306,31418,60013,59703,58681,55880,56039,57752,58493,60132,61755,56679,60606,PER CAPITA NSDP
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16443,16635,17245,18429,18555,24662,25826,26308,28467,31921,34699,40072,57654,60261,67594,85056,91845,99089,117272,119022,108933,97408,NA,PER CAPITA NSDP
Nagaland,1976,2006,2239,9129,9410,9646,9880,10287,9118,8726,14107,15699,16637,17409,17319,30441,33072,35074,37317,39041,40590,43992,53010,55482,58619,60372,60663,64259,66813,70218,73361,69663,NA,PER CAPITA NSDP
Odisha,1383,1530,1476,4896,5054,5204,4773,5382,5471,5742,10622,10208,10697,10500,11900,17650,18194,20194,21640,22963,22846,23968,48387,50769,54209,54361,57806,66416,71032,75421,76564,71622,79607,PER CAPITA NSDP
Puducherry,3183,2883,2434,9781,9661,9889,13512,17402,19279,19374,30486,34190,35831,38648,39633,48302,60046,61142,64749,69374,80363,84142,119649,119196,129127,117102,121000,126531,134934,153988,154517,147483,150454,PER CAPITA NSDP
Punjab,3730,3825,3931,12710,12784,13008,13705,13812,14334,14809,25631,25986,25992,25955,27075,33103,34096,37087,39567,41003,42831,44769,85577,88915,93238,95807,100141,105848,110857,115592,118487,112119,118341,PER CAPITA NSDP
Rajasthan,1942,1755,1975,6182,7134,7216,7862,8601,8754,8555,13619,12840,13933,12054,15579,18565,19445,21342,21922,23356,24304,27502,57192,58441,61053,64496,68565,71324,73529,73929,76882,74009,81231,PER CAPITA NSDP
Sikkim,3369,3492,NA,8402,8277,8822,9146,9539,9914,9874,14890,15305,15953,17065,18159,26690,29008,30293,31722,35394,60774,66136,158667,160553,168897,180675,195066,207355,232483,240743,248691,239928,256507,PER CAPITA NSDP
Tamil Nadu,2237,2270,2363,8955,9932,10147,10451,11260,11592,12167,19432,20319,19748,19662,20707,30062,34126,39166,41314,43193,47394,53507,93112,97257,102191,107117,115875,123206,133029,141844,144845,143528,154427,PER CAPITA NSDP
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24409,27921,30562,33271,37436,37183,43354,91121,92732,96039,101424,112267,121512,131503,146777,153360,143023,158561,PER CAPITA NSDP
Tripura,1642,1643,1666,5534,5364,5707,6239,6828,7396,7968,14119,14933,16947,17752,18554,24394,25688,27558,29022,31711,34544,36718,47155,50501,54645,63992,61612,69860,75020,82313,83985,80512,86539,PER CAPITA NSDP
Uttar Pradesh,1652,1627,1615,5066,5209,5256,5706,5518,5432,5675,9749,9721,9672,9806,10120,12950,13445,14241,14875,15713,16390,17388,32002,32908,34044,34583,36973,40847,41771,42333,43053,39371,40432,PER CAPITA NSDP
Uttarakhand,NA,NA,NA,6896,7369,7163,7476,7429,7385,7256,13516,14932,15364,16530,17542,24726,27781,30644,35444,38621,44557,48525,100314,106359,112900,118979,127249,138784,148011,150179,148303,138191,146047,PER CAPITA NSDP
West Bengal,2145,2267,2295,6756,7094,7492,7880,8408,8814,9320,15888,16244,17225,17568,18374,22649,23808,25400,27094,27914,29799,31314,51543,53157,53811,54520,57255,60618,64007,68212,71719,72202,NA,PER CAPITA NSDP
