state,1951,1961,1971,1981,1991,2001,2011,data
Andaman and Nicobar Islands,31,64,115,189,281,356,381,State-Wise Total Population
Andhra Pradesh,31115,35983,43503,53551,66508,76210,84581,State-Wise Total Population
Arunachal Pradesh,nan,337,468,632,865,1098,1384,State-Wise Total Population
Assam,8029,10837,14625,18041,22414,26656,31206,State-Wise Total Population
Bihar,29085,34841,42126,52303,64531,82999,104099,State-Wise Total Population
Chandigarh,24,120,257,452,642,901,1055,State-Wise Total Population
Chhattisgarh,7457,9154,11637,14010,17615,20834,25545,State-Wise Total Population
Dadra and Nagar Haveli,42,58,74,104,138,220,344,State-Wise Total Population
Daman and Diu,49,37,63,79,102,158,243,State-Wise Total Population
Delhi,1744,2659,4066,6220,9421,13851,16788,State-Wise Total Population
Goa,547,590,795,1008,1170,1348,1459,State-Wise Total Population
Gujarat,16263,20633,26697,34086,41310,50671,60440,State-Wise Total Population
Haryana,5674,7591,10036,12922,16464,21145,25351,State-Wise Total Population
Himachal Pradesh,2386,2812,3460,4281,5171,6078,6865,State-Wise Total Population
Jammu and Kashmir,3254,3561,4617,5987,7837,10144,12541,State-Wise Total Population
Jharkhand,9697,11606,14227,17612,21844,26946,32988,State-Wise Total Population
Karnataka,19402,23587,29299,37136,44977,52851,61095,State-Wise Total Population
Kerala,13549,16904,21347,25454,29099,31841,33406,State-Wise Total Population
Lakshadweep,21,24,32,40,52,61,64,State-Wise Total Population
Madhya Pradesh,18615,23218,30017,38169,48566,60348,72627,State-Wise Total Population
Maharashtra,32003,39554,50412,62783,78937,96879,112374,State-Wise Total Population
Manipur,578,780,1073,1421,1837,2294,2856,State-Wise Total Population
Meghalaya,606,769,1012,1336,1775,2319,2967,State-Wise Total Population
Mizoram,196,266,332,494,690,889,1097,State-Wise Total Population
Nagaland,213,369,516,775,1210,1990,1979,State-Wise Total Population
Odisha,14646,17549,21945,26370,31660,36805,41974,State-Wise Total Population
Puducherry,317,369,472,604,808,974,1248,State-Wise Total Population
Punjab,9161,11135,13551,16789,20282,24359,27743,State-Wise Total Population
Rajasthan,15971,20156,25766,34262,44006,56507,68548,State-Wise Total Population
Sikkim,138,162,210,316,406,541,611,State-Wise Total Population
Tamil Nadu,30119,33687,41199,48408,55859,62406,72147,State-Wise Total Population
Tripura,639,1142,1556,2053,2757,3199,3674,State-Wise Total Population
Uttar Pradesh,60274,70144,83849,105137,132062,166198,199812,State-Wise Total Population
Uttarakhand,2946,3611,4493,5726,7051,8489,10086,State-Wise Total Population
West Bengal,26300,34926,44312,54581,68078,80176,91276,State-Wise Total Population
ALL INDIA,361088,439235,548160,683329,846421,1028737,1210855,State-Wise Total Population
Andaman and Nicobar Islands,23,49,89,139,206,240,244,Population in Rural Area
Andhra Pradesh,25695,29709,35100,41063,48621,55401,56362,Population in Rural Area
Arunachal Pradesh,nan,337,450,590,754,870,1066,Population in Rural Area
Assam,7684,10056,13336,16259,19927,23216,26807,Population in Rural Area
Bihar,27219,32261,38770,47158,57819,74317,92341,Population in Rural Area
Chandigarh,24,21,24,29,66,92,29,Population in Rural Area
Chhattisgarh,7093,8392,10430,11952,14550,16648,19608,Population in Rural Area
Dadra and Nagar Haveli,42,58,74,97,127,170,183,Population in Rural Area
Daman and Diu,30,23,39,50,54,101,60,Population in Rural Area
Delhi,307,299,419,452,949,945,419,Population in Rural Area
Goa,477,503,592,685,690,677,552,Population in Rural Area
Gujarat,11835,15317,19201,23484,27064,31741,34695,Population in Rural Area
Haryana,4705,6283,8263,10095,12409,15029,16509,Population in Rural Area
Himachal Pradesh,2232,2634,3219,3955,4722,5482,6176,Population in Rural Area
Jammu and Kashmir,2797,2968,3758,4727,6043,7627,9108,Population in Rural Area
Jharkhand,8937,10273,11950,14038,17203,20952,25055,Population in Rural Area
Karnataka,14948,18320,22177,26406,31069,34889,37469,Population in Rural Area
Kerala,11723,14350,17881,20682,21418,23574,17471,Population in Rural Area
Lakshadweep,21,24,32,22,23,34,14,Population in Rural Area
Madhya Pradesh,15846,19353,24440,29640,36292,44381,52557,Population in Rural Area
Maharashtra,22802,28391,34701,40789,48396,55778,61556,Population in Rural Area
Manipur,575,712,931,1045,1332,1718,1736,Population in Rural Area
Meghalaya,547,652,865,1094,1445,1865,2371,Population in Rural Area
Mizoram,189,252,295,372,372,448,525,Population in Rural Area
Nagaland,209,350,465,655,1001,1647,1408,Population in Rural Area
Odisha,14052,16439,20099,23260,27425,31287,34971,Population in Rural Area
Puducherry,317,280,273,288,291,326,394,Population in Rural Area
Punjab,7171,8568,10335,12141,14289,16096,17344,Population in Rural Area
Rajasthan,13015,16874,21222,27051,33939,43293,51500,Population in Rural Area
Sikkim,135,155,190,265,369,481,457,Population in Rural Area
Tamil Nadu,22786,24696,28734,32456,36781,34922,37230,Population in Rural Area
Tripura,596,1039,1394,1827,2335,2653,2712,Population in Rural Area
Uttar Pradesh,52049,61160,72195,86387,106090,131658,155317,Population in Rural Area
Uttarakhand,2545,3115,3758,4577,5417,6310,7037,Population in Rural Area
West Bengal,20018,26385,33345,40134,49370,57749,62183,Population in Rural Area
ALL INDIA,298644,360298,439046,523867,628856,742618,833463,Population in Rural Area
Andaman and Nicobar Islands,8,14,26,50,75,116,136,Population in Urban Area
Andhra Pradesh,5420,6275,8403,12488,17887,20809,28291,Population in Urban Area
Arunachal Pradesh,nan,nan,17,41,111,228,317,Population in Urban Area
Assam,345,781,1289,1782,2488,3439,4399,Population in Urban Area
Bihar,1866,2581,3356,5145,6712,8682,11758,Population in Urban Area
